n,w,seed,id_error,eval_return_mean,eval_return_std,theta_hat_mass,theta_hat_length,wall_time_s
0,0.0,0,1.118033988749895,-774.6757534659704,216.67233538140547,1.0,1.0,881.7882051467896
0,0.0,1,1.118033988749895,-808.5025606752014,306.12652498082593,1.0,1.0,877.4842600822449
0,0.0,2,1.118033988749895,-740.9461128547703,260.2801950947827,1.0,1.0,893.9920191764832
0,0.0,3,1.118033988749895,-749.2607772555821,236.7326005956373,1.0,1.0,900.1807513237
0,0.0,4,1.118033988749895,-773.5136632603094,183.87424522316238,1.0,1.0,887.7980308532715
0,0.5,0,1.118033988749895,-797.1917707100461,144.6726165624189,1.0,1.0,892.3113975524902
0,0.5,1,1.118033988749895,-793.9466683070539,130.97996402754418,1.0,1.0,1035.5275568962097
0,0.5,2,1.118033988749895,-790.2948053941257,120.78037225997399,1.0,1.0,1035.3510856628418
0,0.5,3,1.118033988749895,-742.261490850106,144.44035119132286,1.0,1.0,1047.2851572036743
0,0.5,4,1.118033988749895,-701.994861385964,126.82206817741094,1.0,1.0,1022.5909833908081
5,0.0,0,0.3464462440264003,-341.39141345171754,274.1600418132481,2.325,1.3800000000000001,1029.9973185062408
5,0.0,1,1.002808556006579,-355.47137925113657,283.2156613477714,3.0,1.4250000000000003,1032.5076355934143
5,0.0,2,0.17066048165875985,-342.0445192185831,265.84221082489415,1.8300000000000003,1.5150000000000001,1044.3483607769012
5,0.0,3,1.0135210900617706,-333.52613202299995,269.3403482797073,3.0,1.3350000000000002,1040.9353697299957
5,0.0,4,1.002808556006579,-334.6721790285362,267.0124706209428,3.0,1.4250000000000003,939.908627986908
5,0.5,0,0.3464462440264003,-561.596904057142,322.2625486870421,2.325,1.3800000000000001,921.8651471138
5,0.5,1,1.002808556006579,-678.0209308870906,289.20840616857566,3.0,1.4250000000000003,920.4012053012848
5,0.5,2,0.17066048165875985,-551.1153850805522,292.99568997888275,1.8300000000000003,1.5150000000000001,933.2321772575378
5,0.5,3,1.0135210900617706,-736.8738868608726,310.2183933383349,3.0,1.3350000000000002,919.7405869960785
5,0.5,4,1.002808556006579,-664.217823639712,287.3366772276004,3.0,1.4250000000000003,926.0517528057098
10,0.0,0,0.2816025568065747,-341.3320390298205,274.0678187507276,2.2800000000000002,1.4700000000000002,916.8909606933594
10,0.0,1,0.7786205751198717,-355.5649971286066,283.33756193403246,2.775,1.4250000000000003,918.7417559623718
10,0.0,2,0.530212221662232,-342.1682832576587,265.538766870469,1.4700000000000002,1.5150000000000001,837.8655066490173
10,0.0,3,1.0004498987955368,-333.93421597620943,263.29426682569385,3.0,1.4700000000000002,843.3886349201202
10,0.0,4,0.04609772228646408,-334.40818508832245,265.58699173180406,1.9650000000000003,1.4700000000000002,836.0680499076843
10,0.5,0,0.2816025568065747,-624.6916755115566,253.43346481472648,2.2800000000000002,1.4700000000000002,839.7659320831299
10,0.5,1,0.7786205751198717,-649.6487935559542,320.1699240909779,2.775,1.4250000000000003,844.4968037605286
10,0.5,2,0.530212221662232,-529.6673241868338,281.2593511242831,1.4700000000000002,1.5150000000000001,842.9802632331848
10,0.5,3,1.0004498987955368,-473.66928853982444,344.63443780884074,3.0,1.4700000000000002,841.0225031375885
10,0.5,4,0.04609772228646408,-401.06772912232225,283.6341560977984,1.9650000000000003,1.4700000000000002,838.0585324764252
25,0.0,0,0.28987066081271506,-341.29317939637616,273.9232024753426,2.2800000000000002,1.4250000000000003,951.7864964008331
25,0.0,1,0.8201371836467363,-355.93079767698043,283.3920557847186,2.8200000000000003,1.5150000000000001,833.7296509742737
25,0.0,2,0.19981241202688071,-342.3621272639263,266.0945559433415,1.8300000000000003,1.6050000000000002,948.4201371669769
25,0.0,3,1.0001124936725867,-328.3545087374275,270.2000144334023,3.0,1.5150000000000001,842.6889727115631
25,0.0,4,0.14807092894960844,-334.0560911315175,265.810917410639,2.145,1.4700000000000002,861.2981224060059
25,0.5,0,0.28987066081271506,-679.9886037146763,290.4636926697142,2.2800000000000002,1.4250000000000003,851.1982071399689
25,0.5,1,0.8201371836467363,-756.5880491982391,256.24785480754554,2.8200000000000003,1.5150000000000001,844.9541547298431
25,0.5,2,0.19981241202688071,-627.5884198848078,230.17022689746355,1.8300000000000003,1.6050000000000002,843.5911719799042
25,0.5,3,1.0001124936725867,-453.0025792059875,299.0479007853472,3.0,1.5150000000000001,894.3666744232178
25,0.5,4,0.14807092894960844,-643.2243573736931,268.5891145822078,2.145,1.4700000000000002,885.5928819179535
50,0.0,0,0.038078865529319314,-341.8311351485235,273.5193637186118,1.9650000000000003,1.5150000000000001,893.0537075996399
50,0.0,1,0.3703039292257106,-355.7416454669005,282.9067679192939,2.37,1.5150000000000001,891.2953248023987
50,0.0,2,0.4193149174546501,-342.0920784463813,266.56663424657404,2.415,1.5600000000000003,891.8084771633148
50,0.0,3,1.0001124936725867,-328.3545087374275,270.2000144334023,3.0,1.5150000000000001,849.2839224338531
50,0.0,4,0.4609772228646443,-334.6540734079751,266.48361339540793,2.46,1.4700000000000002,939.3947727680206
50,0.5,0,0.038078865529319314,-574.2408599099297,304.6459321569807,1.9650000000000003,1.5150000000000001,864.9982113838196
50,0.5,1,0.3703039292257106,-555.822499521083,291.4015810681263,2.37,1.5150000000000001,925.0755455493927
50,0.5,2,0.4193149174546501,-574.874524318938,285.7263039395841,2.415,1.5600000000000003,830.5321357250214
50,0.5,3,1.0001124936725867,-453.0025792059875,299.0479007853472,3.0,1.5150000000000001,837.3012497425079
50,0.5,4,0.4609772228646443,-659.812952338975,297.3122878599856,2.46,1.4700000000000002,938.5133302211761
